Sample	Chd1_dspt2_vs_WT	Chd1_spt6_vs_WT	Chd1_39_vs_Cl	Iws1_dspt2_vs_WT	Iws1_spt6_vs_WT	Iws1_39_vs_Cl	Spt6_dspt2_vs_WT	Spt6_spt6_vs_WT	Spt6_39_vs_Cl
Chd1-Myc_dspt2Cl1	2	0	0	0	0	0	0	0	0
Chd1-Myc_dspt2Cl2	2	0	0	0	0	0	0	0	0
Chd1-Myc_spt6_39C_Cl1	0	2	0	0	0	0	0	0	0
Chd1-Myc_spt6_39C_Cl2	0	2	0	0	0	0	0	0	0
Chd1-Myc_Wt_39C_Cl1	0	1	2	0	0	0	0	0	0
Chd1-Myc_Wt_39C_Cl2	0	1	2	0	0	0	0	0	0
Chd1-Myc_WtCl1	1	0	1	0	0	0	0	0	0
Chd1-Myc_WtCl2	1	0	1	0	0	0	0	0	0
Iws1-Myc_dspt2Cl1	0	0	0	2	0	0	0	0	0
Iws1-Myc_dspt2Cl2	0	0	0	2	0	0	0	0	0
Iws1-Myc_spt6_39C_Cl1	0	0	0	0	2	0	0	0	0
Iws1-Myc_spt6_39C_Cl2	0	0	0	0	2	0	0	0	0
Iws1-Myc_Wt_39C_Cl1	0	0	0	0	1	2	0	0	0
Iws1-Myc_Wt_39C_Cl2	0	0	0	0	1	2	0	0	0
Iws1-Myc_WtCl1	0	0	0	1	0	1	0	0	0
Iws1-Myc_WtCl2	0	0	0	1	0	1	0	0	0
No-TAG	0	0	0	0	0	0	0	0	0
Spt2-Myc_spt6_39C_Cl1	0	0	0	0	0	0	0	2	0
Spt2-Myc_spt6_39C_Cl2	0	0	0	0	0	0	0	2	0
Spt2-Myc_Wt_39C_Cl1	0	0	0	0	0	0	0	1	2
Spt2-Myc_Wt_39C_Cl2	0	0	0	0	0	0	0	1	2
Spt6-Myc_dspt2Cl1	0	0	0	0	0	0	2	0	1
Spt6-Myc_dspt2Cl2	0	0	0	0	0	0	2	0	1
Spt6-Myc_WtCl1	0	0	0	0	0	0	1	0	0
Spt6-Myc_WtCl2	0	0	0	0	0	0	1	0	0
