Sample	Chd1-dspt2-Ctl,N	Iws1-dspt2-Ctl,N	Spt6-dspt2-Ctl,N	Chd1-spt6-39C,N	Iws1-spt6-39C,N	Spt2-spt6-39C,N	Chd1-WT-39C,N	Iws1-WT-39C,N	Spt2-WT-39C,N	Chd1-WT-Ctl,N	Iws1-WT-Ctl,N	Spt6-WT-Ctl,N
Chd1-Myc_dspt2Cl2	2	0	0	0	0	0	0	0	0	0	0	0
Chd1-Myc_dspt2Cl1	2	0	0	0	0	0	0	0	0	0	0	0
Iws1-Myc_dspt2Cl2	0	2	0	0	0	0	0	0	0	0	0	0
Iws1-Myc_dspt2Cl1	0	2	0	0	0	0	0	0	0	0	0	0
Spt6-Myc_dspt2Cl2	0	0	2	0	0	0	0	0	0	0	0	0
Spt6-Myc_dspt2Cl1	0	0	2	0	0	0	0	0	0	0	0	0
Chd1-Myc_spt6_39C_Cl2	0	0	0	2	0	0	0	0	0	0	0	0
Chd1-Myc_spt6_39C_Cl1	0	0	0	2	0	0	0	0	0	0	0	0
Iws1-Myc_spt6_39C_Cl2	0	0	0	0	2	0	0	0	0	0	0	0
Iws1-Myc_spt6_39C_Cl1	0	0	0	0	2	0	0	0	0	0	0	0
Spt2-Myc_spt6_39C_Cl2	0	0	0	0	0	2	0	0	0	0	0	0
Spt2-Myc_spt6_39C_Cl1	0	0	0	0	0	2	0	0	0	0	0	0
Chd1-Myc_Wt_39C_Cl2	0	0	0	0	0	0	2	0	0	0	0	0
Chd1-Myc_Wt_39C_Cl1	0	0	0	0	0	0	2	0	0	0	0	0
Iws1-Myc_Wt_39C_Cl2	0	0	0	0	0	0	0	2	0	0	0	0
Iws1-Myc_Wt_39C_Cl1	0	0	0	0	0	0	0	2	0	0	0	0
Spt2-Myc_Wt_39C_Cl2	0	0	0	0	0	0	0	0	2	0	0	0
Spt2-Myc_Wt_39C_Cl1	0	0	0	0	0	0	0	0	2	0	0	0
Chd1-Myc_WtCl2	0	0	0	0	0	0	0	0	0	2	0	0
Chd1-Myc_WtCl1	0	0	0	0	0	0	0	0	0	2	0	0
Iws1-Myc_WtCl2	0	0	0	0	0	0	0	0	0	0	2	0
Iws1-Myc_WtCl1	0	0	0	0	0	0	0	0	0	0	2	0
Spt6-Myc_WtCl2	0	0	0	0	0	0	0	0	0	0	0	2
Spt6-Myc_WtCl1	0	0	0	0	0	0	0	0	0	0	0	2
No-TAG	1	1	1	1	1	1	1	1	1	1	1	1
