Sample	Chd1-dspt2-Ctl_B,B	Iws1-dspt2-Ctl_B,B	Spt6-dspt2-Ctl_B,B	Chd1-spt6-39C_B,B	Iws1-spt6-39C_B,B	Spt2-spt6-39C_B,B	Chd1-WT-39C_B,B	Iws1-WT-39C_B,B	Spt2-WT-39C_B,B	Chd1-WT-Ctl_B,B	Iws1-WT-Ctl_B,B	Spt6-WT-Ctl_B,B
Chd1-Myc_dspt2Cl2	2	0	0	0	0	0	0	0	0	0	0	0
Chd1-Myc_dspt2Cl1	2	0	0	0	0	0	0	0	0	0	0	0
Iws1-Myc_dspt2Cl2	0	2	0	0	0	0	0	0	0	0	0	0
Iws1-Myc_dspt2Cl1	0	2	0	0	0	0	0	0	0	0	0	0
Spt6-Myc_dspt2Cl2	0	0	2	0	0	0	0	0	0	0	0	0
Spt6-Myc_dspt2Cl1	0	0	2	0	0	0	0	0	0	0	0	0
Chd1-Myc_spt6_39C_Cl2	0	0	0	2	0	0	0	0	0	0	0	0
Chd1-Myc_spt6_39C_Cl1	0	0	0	2	0	0	0	0	0	0	0	0
Iws1-Myc_spt6_39C_Cl2	0	0	0	0	2	0	0	0	0	0	0	0
Iws1-Myc_spt6_39C_Cl1	0	0	0	0	2	0	0	0	0	0	0	0
Spt2-Myc_spt6_39C_Cl2	0	0	0	0	0	2	0	0	0	0	0	0
Spt2-Myc_spt6_39C_Cl1	0	0	0	0	0	2	0	0	0	0	0	0
Chd1-Myc_Wt_39C_Cl2	0	0	0	0	0	0	2	0	0	0	0	0
Chd1-Myc_Wt_39C_Cl1	0	0	0	0	0	0	2	0	0	0	0	0
Iws1-Myc_Wt_39C_Cl2	0	0	0	0	0	0	0	2	0	0	0	0
Iws1-Myc_Wt_39C_Cl1	0	0	0	0	0	0	0	2	0	0	0	0
Spt2-Myc_Wt_39C_Cl2	0	0	0	0	0	0	0	0	2	0	0	0
Spt2-Myc_Wt_39C_Cl1	0	0	0	0	0	0	0	0	2	0	0	0
Chd1-Myc_WtCl2	0	0	0	0	0	0	0	0	0	2	0	0
Chd1-Myc_WtCl1	0	0	0	0	0	0	0	0	0	2	0	0
Iws1-Myc_WtCl2	0	0	0	0	0	0	0	0	0	0	2	0
Iws1-Myc_WtCl1	0	0	0	0	0	0	0	0	0	0	2	0
Spt6-Myc_WtCl2	0	0	0	0	0	0	0	0	0	0	0	2
Spt6-Myc_WtCl1	0	0	0	0	0	0	0	0	0	0	0	2
No-TAG	1	1	1	1	1	1	1	1	1	1	1	1
